Site,Type,Latitude,Longitude,22000-21000,21000-20000,20000-19000,19000-18000,18000-17000,17000-16000,16000-15000,15000-14000,14000-13000,13000-12000,12000-11000,11000-10000,10000-9000,9000-8000,8000-7000,7000-6000,6000-5000,5000-4000,4000-3000,3000-2000,2000-1000,1000-present
Alexander Lake,Pollen,53.333333,-60.583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,27.9736111624,5.818112313,5.9692028985,5.8589607635,0,0,
Aliuk Pond,Pollen,54.583333,-57.366667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.02564103,60.1532567,34.12698413,30.72100313,50.24752475,32.58928571,0,0,
Baird Inlet [Rock Basin Lake],Pollen,78.491667,-76.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947528381,0,0,0,0,0,0,0,0,
Barry Lake,Pollen,44.3,-77.916667,0,0,0,0,0,0,0,0,0,0,0,1.804239528,0.41201741825,1.0328893522,0.7957622738,0.5581730402,0.9386298084,1.061878071,1.360050757,1.069633786,1.72414287867,2.39851522162,
Boone Lake,Pollen,55.575,-119.433333,0,0,0,0,0,0,0,0,0,0,0,0,2.247191011,1.4707974445,2.052238806,0,0,0,0,0,0,0,
Boundary Lake,Pollen,55.25,-67.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.90322581,12.90322581,0,0,0,0,0,0,
Brisay 2,Pollen,54.355833,-70.357778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184162063,2.194357367,0.75,1.238938053,2.472952087,0,0,
Brophy Ditch,Pollen,43.22,-81.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.923076923,0.297619048,0.46224336775,0.313337407667,0.740740741,0,
Candelabra Lake,Pollen,61.683333,-130.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8035431825,
Caribou Hill,Pollen,55.666667,-63.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88888889,0,0,0,0,0,0,
Chase Pond,Pollen,45.651389,-60.675,0,0,0,0,0,0,0,0.917609694,1.023890785,0.7481940145,0.325479661,3.0438014668,0.579278813,0,0,0,0,0,0,0,0,0,
Coppermine Saddleback,Pollen,67.833333,-115.316667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20887812843,5.75089524,7.4280597655,6.57711001329,
Lac CÌ«tÌ©,Pollen,48.966944,-65.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.981308411,3.718199609,0,0,0,0,
Cranberry Lake,Pollen,44.1,-78.1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.75,0,1.253768844,1.25,1.16585402267,1.16666666667,0,
Cristal Lake,Pollen,52.116667,-90.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.775577558,
Cycloid Lake,Pollen,55.266667,-105.266667,0,0,0,0,0,0,0,0,0,0,0,0,3.174603175,0.7467144835,16.4728742877,30.9399708133,15.93684011,23.1815390725,15.332272054,12.3849373337,14.5611383175,16.287445346,
Devon Island Glacier,Pollen,75.35,-82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,0,0,0,0,0,
Beaverhouse Lake,Pollen,54.742222,-101.681667,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3150100725,5.355191257,6.87732342,8.166409861,0,0,0,0,21.1964439667,
Georgian Bay  Lake Huron (1),Pollen,44.74,-80.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jones Lake [Glenboro site],Pollen,49.448,-99.28965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00816187233,3.047619048,3.846153846,0,2.476506357,
Gravel Ridge,Pollen,55.033333,-62.633333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.80821918,29.351970865,16.9692319048,21.2305204925,14.92102768,9.42794841633,10.0833277883,
Hanging Lake,Pollen,68.383333,-138.383333,0,0,0,0,0,0,0,0,0.273224044,0.540012861,0,0.2093637355,2.73977848643,28.15796102,35.185222785,33.0193692367,27.24128546,27.32236168,24.38542784,0,0,0,
Hebron Lake,Pollen,58.2,-63.033333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.561834681,33.1913299033,0,34.17280917,23.22738386,22.3880597,16.55136631,
Iglutalik Lake,Pollen,66.135,-66.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,2.316888815,1.22711440525,3.4054024315,0,0,0,0,0,0,
Inglesby Lake,Pollen,44.483333,-77.05,0,0,0,0,0,0,0,0,0,0,0,0.512820513,1.03626943,0,0.5,0.5,0.5,0,0,0,0,0,
Lac Louis,Pollen,47.2875,-79.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.813559322,0,0,0,0,0,0,0,
Lake CH2,Pollen,49.683333,-74.583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72348725627,2.18438704,1.335877863,
Lake GB1,Pollen,55.110833,-75.248889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986610289,0,0,0,0,
Lake LT1,Pollen,58.141667,-75.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429588602,0.262639527,0.181488203,0,0,0,
Lake PWWL,Pollen,73.591389,-98.538889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,
Lateral Pond,Pollen,65.942222,-135.514167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.064859632,
Leading Tickles,Pollen,49.471389,-55.473056,0,0,0,0,0,0,0,0,0,0,0,1.376291619,2.10993832767,3.3866995075,0,17.930495245,0,12.04819277,20.83333333,0,0,0,
Long Lake (CA:Nunavut),Pollen,62.633333,-101.233333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26550972367,25.234071113,5.707919205,14.6311649685,11.42857143,8.549222798,
Louise Pond,Pollen,52.94643,-131.764345,0,0,0,0,0,0,0,0,0,0,0,38.66666667,24.772827165,20.953067526,11.89657652,8.99071396825,8.78547672314,6.35046964767,7.9335171975,7.5309768414,7.53779339425,5.95545537475,
Maligne Lake,Pollen,52.733333,-117.616667,0,0,0,0,0,0,0,0,0,0,0,0,0,5.432098765,7.86170709467,0,0,0,0,0,0,0,
Mayflower Lake,Pollen,45.38986111,-79.21652778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.312335958,0,0,0,0,0,0,0,
McMaster Lake,Pollen,64.133333,-110.583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6816302645,4.635761589,2.43902439,0,0,3.1189213085,2.492211838,0.8175557585,
