Site,Type,Latitude,Longitude,22000-21000,21000-20000,20000-19000,19000-18000,18000-17000,17000-16000,16000-15000,15000-14000,14000-13000,13000-12000,12000-11000,11000-10000,10000-9000,9000-8000,8000-7000,7000-6000,6000-5000,5000-4000,4000-3000,3000-2000,2000-1000,1000-present
Banks Island 74MS12,Pollen,72.366667,-119.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.034482759,0,2.752293578,0.911854103,0,0,
Compass Pond,Pollen,50.034167,-56.196389,0,0,0,0,0,0,0,0,0,0,2.702702703,0,0,0,0,0,0,0,0,0,0,0,
Crawford Lake,Pollen,43.5,-79.83,0,0,0,0,0,0,0,0,0,0,0.279329609,0,0,0,0,0,0,0,0,0,0,0,
Lac Ã  St-Germain,Pollen,45.945833,-74.370833,0,0,0,0,0,0,0,0,0,0,0,0.3095500315,0,0,0,0,0,0,0,0,0,0,
Upper Gillies Lake,Pollen,46.066667,-60.391667,0,0,0,0,0,0,0,0,0,0,1.052631579,0,0,0,0,0,0,0,0,0,0,0,
Hanging Lake,Pollen,68.383333,-138.383333,0,0,0,0,0,0,0.2320800115,0.544959128,0,0.3737155345,0,0,0,0,0,0,0,0,0,0,0,0,
Humber Pond 5,Pollen,43.64,-79.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247524752,
TourbiÃ¨re du lac Joncas,Pollen,47.257778,-71.162778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380228137,0,0,0,0,0,0,0,
Moraine Lake,Pollen,52.266667,-58.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334448161,
Point Escuminac,Pollen,47.075,-64.8,0,0,0,0,0,0,0,0,0,0.352112676,0,0.243309002,0,0,0,0,0,0,0,0,0,0,
Rattle Lake,Pollen,49.35,-92.7,0,0,0,0,0,0,0,0,0.473933649,0.546448087,0.207039337,0.20746888,0,0,0,0,0,0,0,0,0,0,
Dye Lower Water Lake (Dyer Lake),Pollen,66.62246,-61.64925,0,0,0,0,0,0,0,0,0,0,0,0,25.664451827,0,0,0,0,0,0,0,0,0,
Pyrola Lake,Pollen,50.183195,-127.697995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272479564,0,0,0.293255132,0.292397661,0,0,0.331125828,
Crater Lake,Pollen,49.19225,-120.09585,0,0,0,0,0,0,0,0,0,0.751574321667,0.2783985895,0,0.31152648,0,0,0,0,0,0,0,0,0,
Woods Lake,Pollen,51.004365,-127.269325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078369906,0,0,
Patricia Bay Lake,Pollen,70.46194444,-68.50277778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63986091433,4.40064905857,2.02111041825,0.66780211525,0.6561927535,0.6774788845,0.7065673415,0.25974026,
South Lake,Pollen,69.080765,-121.42854,0,0,0,0,0,0,0,0,0.704225352,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spirea Wetland,Pollen,43.26191,-80.25924167,0,0,0,0,0,0,0,0,0.097087379,0,0,0,0,0.126582278,0,0,0,0.502512563,0,0,0,0,
Carp Lake,Pollen,45.918056,-120.880556,0,0,0,0,0,0.660066007,0,0,0.806451613,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clear Pond,Pollen,33.798895,-78.95336,0,0,0,0,0,0,0,0,0.423728814,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deer Lake Bog,Pollen,44.033333,-71.833333,0,0,0,0,0,0,0,0,0.900900901,0.296735905,1.229124114,1.3883033675,0.161290323,0,0,0,0.189035917,0,0,0,0,0.3471745595,
Eldora Fen,Pollen,39.936667,-105.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229885057,0.4194584525,0,
Healy Lake,Pollen,64,-144.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319488818,0.273224044,
Kirchner Marsh,Pollen,44.77085,-93.12255,0,0,0,0,0,0,0,0,0,0,0.257069409,0.573065903,0.2235203105,0,0.14858841,0,0,0,0,0.238663484,0.196850394,0,
Lily Lake,Pollen,59.2,-135.4,0,0,0,0,0,0,0,0,0,0,0,0.833850413,0.248756219,0,0,0,0,0,0,0,0,0,
Potato Lake,Pollen,34.462222,-111.345278,0,0.647249191,0,0.333333333,0,0,0,0.328947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sinkhole Pond,Pollen,43.966667,-70.35,0,0,0,0,0,0,0,0,0,0,2.272727273,0,0,0,0,0,0,0,0,0,0,0,
Spruce Pond,Pollen,41.239444,-74.204167,0,1.298701299,1.612903226,0,0,0,0,0,0,0,0,0,0,0,0.374328603167,0.619485999,0.3039842756,0.611620795,0,0,0,0,
Sutherland Pond,Pollen,41.391389,-74.037778,1.851851852,1.063829787,0,0,0,0,0.719003285,0.261096606,0.364229947,0,0,0,0.215982721,0,0,0,0.3259023355,0.355100744667,0,0.30478753,0,0,
Tannersville Bog,Pollen,41.033333,-75.266667,0,0,0,0,0,0,0.338983051,0,0.67283574,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tiinkdhul Lake,Pollen,66.583333,-143.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265957447,0.626959248,
Wood Lake,Pollen,45.333333,-90.083333,0,0,0,0,0,0,0,0,0.306748466,0,0,0,0,0,0,0,0,0,0,0,0,0,
Woski Pond,Pollen,37.725,-119.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34965035,
Head Lake,Pollen,37.7,-105.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677966102,0,0,0,0,0,0,0,0,
Irwin Smith Bog,Pollen,45.0265,-83.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923910724,0,0,0,0,0,0,
Tower Lake,Pollen,46.542635,-86.037795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301659125,0.313479624,0.249431562667,0,0,0,0,
Crystal Lake,Pollen,42.234015,-88.357005,0,0,0,0,0,0,0,0,0,0.317965024,0,0,0,0,0,0,0,0,0,0,0,0,
Lost Park,Pollen,39.2949,-105.5383,0,0,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0,
Caddo Creek (Core 1),Pollen,32.043605,-95.505225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.923076923,0,0,
Emrick Lake,Pollen,43.800155,-89.59428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638977636,0,0,
Fargher Pond,Pollen,45.886765,-122.51919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dead Horse Lake,Pollen,42.558,-120.775,0,0,0,0,0,0.34965035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294985251,
Cedar Lake,Pollen,41.20728,-122.4971,0,0,0,0,0,0,0,0,0,0.497512438,0,0,0,0,0,0,0,0,0,0,0,0,
Idavain Lake,Pollen,58.77229444,-155.945095,0,0,0,0,0,0,0,0.303030303,0.331125828,0.294117647,0,0,0,0,0.293255132,0,0,0,0,0,0.628930818,0.835654596,
Snipe Lake,Pollen,60.62601,-154.303475,0,0,0,0,0,0,0,0.8,0.303030303,0,0,0,0,0,0,0,0,0,0.294985251,0,0,0,
Eightmile Lake,Pollen,63.888645,-149.2518,0,0,0,0,0,0,0,0,0,0,0,0,0.316455696,0.331125828,0,0.324675325,0,0.306748466,0,0.332225914,0,0,
Chalco Lake,Pollen,19.5,-99,0,0,0,0,0.5775527525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
San Jose Chulchaca,Pollen,20.866667,-90.133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4513550035,0,0,0,0,0,0,
