Site,Type,Latitude,Longitude,22000-21000,21000-20000,20000-19000,19000-18000,18000-17000,17000-16000,16000-15000,15000-14000,14000-13000,13000-12000,12000-11000,11000-10000,10000-9000,9000-8000,8000-7000,7000-6000,6000-5000,5000-4000,4000-3000,3000-2000,2000-1000,1000-present
Three Pines Bog,Pollen,47,-80.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253807107,0,
Lac ÌÊ l'Ange,Pollen,47.481667,-70.684722,0,0.36101083,0,0,0,0,0,0,0,0,0,0.23255814,0.131881095333,0.188253645,0,0,0,0,0,0,0,0,
Lac Caribou,Pollen,48.197778,-64.94,0,0,0,0,0,0,0,0,0,0,0.177304965,0,0,0,0,0,0,0,0,0,0,0.548446069,
Lac CÌ«tÌ©,Pollen,48.966944,-65.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221238938,0.143061516,0,0.154320988,0,0.171526587,0,0,
Cranberry Lake,Pollen,44.1,-78.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
Crawford Lake,Pollen,43.5,-79.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988753179037,
Decoy Lake,Pollen,43.233333,-80.366667,0,0,0,0,0,0,0,0,0,0,0.43347952525,0,0.40795344125,0.358494031333,0.298312897,0,0.297619048,0.269905533,0,0.25974026,0.317965024,0,
Beaverhouse Lake,Pollen,54.742222,-101.681667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171821306,0,0,0,0,0,0,0,
Lac ÌÊ St-Germain,Pollen,45.945833,-74.370833,0,0,0,0,0,0,0,0,0,0,0,0.362271339,0,0,0,0,0,0,0,0,0,0,
Jones Lake [Glenboro site],Pollen,49.448,-99.28965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183150183,0,0.184501845,0,0,
Hawke Hills Kettle,Pollen,47.322222,-53.133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347222222,0,0.331125828,0,0.235849057,
Humber Pond 3,Pollen,43.64,-79.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7882004394,0.6011685115,0.66558343,0.99140605125,
TourbiÌ¬re du lac Joncas,Pollen,47.257778,-71.162778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25220681,0,0,0,0,0,
Lake B,Pollen,53.8,-106.079167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293255132,0,0,0,0,0,0,0,
Lake CH2,Pollen,49.683333,-74.583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193423598,0,0,0,0,0,
Lake EC2,Pollen,56.023333,-74.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145032632,0,0,0,0,0,
Lake GB1,Pollen,55.110833,-75.248889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175438596,
Sud du Lac du Noyer,Pollen,46.787778,-72.837778,0,0,0,0,0,0,0,0,0,0,0,0,0.268782017667,0,0,0.217391304,0.3693640852,0.184162063,0.194931774,0.154320988,0,0.184162063,
Nina Lake,Pollen,46.6,-81.5,0,0,0,0,0,0,0,0,0,0,0,0,0.09469697,0.188082233,0,0,0.185873606,0,0,0,0,0.425531915,
Lac Ouellet,Pollen,47.532778,-68.943889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165289256,0,0,0,0,0,0,
Parkhill Creek,Pollen,43.18,-81.75,0,0,0,0,0,0,0,0,0,0,0,1.17031150033,0,0,0.367647059,0.526315789,0.626959248,0.321543408,0.295968895,0.600352862,0.6431012775,0,
Pasqua Lake,Pollen,50.78,-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320512821,
Pass Lake,Pollen,48.56,-88.74,0,0,0,0,0,0,0,0,0,0,0,0,0.397676059833,0,0,0,0,0,0,0,0,0,
Lac Patricia,Pollen,56.67,-64.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305810398,0,
Perch Lake,Pollen,46.03,-77.34,0,0,0,0,0,0,0,0,0,0,0,0,0.229357798,0,0,0,0,0,0,0,0,0,
Pink Lake,Pollen,45.469444,-75.808333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791556728,0,0,0,0,1.312335958,
Lac Pluvieux,Pollen,47.843889,-69.352778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274592233,0,0,0.131752306,0.135135135,0,0.157480315,
Portage Bog,Pollen,46.673611,-64.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471698113,0.420168067,0.401606426,0.21978022,
Ramsay Lake,Pollen,45.6,-76.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,
Reindeer Lake,Pollen,69.116667,-132.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318979266,0,
Rostock Mammoth Site,Pollen,43.5,-81,0,0,0,0,0,0,0,0,0,0,0.304878049,0,0,0,0,0,0,0,0,0,0,0,
Sarnia Elk Site Section,Pollen,42.98,-82.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323624595,0.489667325,0.331683168,0.330033003,0.3003003,0.7778802125,
Lac aux Quenouilles,Pollen,46.171944,-74.395833,0,0,0,0,0,0,0,0,0,0,0,0.263178999,0,0.131402449667,0.191570881,0.980392157,0.310077519,0.169204738,0,0.255754476,0.186640194667,0.176056338,
Second Lake,Pollen,44.85,-79.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288184438,0,0.2911954695,0,
LD Lake,Pollen,50.140278,-67.131944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237529691,0,0,0,0,
Sewell Lake,Pollen,49.84135,-99.5763,0,0,0,0,0,0,0,0,0,0,0,0,2.1228190215,0,0.4001896975,0,0,0,0,0,0,0,
Shaws Bog,Pollen,45.016667,-64.183333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222717149,0,0,0,0,0,0,0,0,
Van Nostrand Lake,Pollen,44,-79.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276243094,0,
Found Lake,Pollen,45.55,-78.64,0,0,0,0,0,0,0,0,0,0,0,0,0.3463745945,0,0,0.318471338,0,0.331125828,0.190114068,0,0,0.207188125333,
Jones Lake,Pollen,49.450245,-99.289145,0,0,0,0,0,0,0,0,0,0,0,0.459770115,0.229357798,0,0,0,0,0,0,0,0,0,
Cootes Paradise Marsh,Pollen,43.2765,-79.9075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78244421878,0.643436082,0.147205475857,
Bass Pond,Pollen,50.71505,-57.374385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20746888,0,0,0,0,0,0.284090909,0.261780105,0,
Fire Lake,Pollen,52.331985,-67.35709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188679245,0,0,0,0,0,
Twiss Marl Pond,Pollen,43.44083,-79.95551,0,0,0,0,0,0,0,0,0,0,0,0,0.35971223,0,0,0,0,0,0,0,0,0,
Rice Lake,Pollen,44.199085,-78.14232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327868852,1.850782653,0,0,0,0,0,0,0,
Webbs Lake,Pollen,44.16706667,-78.1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485436893,0,0.491687276,1.059630499,0.86028162975,0.483091787,0.448430493,0.641889605667,0.783996984,
Lovesick Lake,Pollen,44.55680556,-78.22479722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99009901,0.4750620625,0,0.462962963,1.3954970265,
Spirea Wetland,Pollen,43.26191,-80.25924167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434782609,0,0,0,
Path Lake,Pollen,43.87196,-64.928795,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151400454,0,0.377002828,0.186848173667,0.280129728,0.285665569167,0.2684664144,0.443952276222,0,
Hell's Kitchen Lake,Pollen,46.183333,-89.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301418907571,0.25167409,
Lake Mary,Pollen,46.25,-89.9,0,0,0,0,0,0,0,0,0,0,0,0,0.4015038665,0,0,0,0,0,0,0,0,0,
Anderson Pond,Pollen,36.03015,-85.50132,0.293685756,0.301204819,0,0,0,0,0.3097875605,0.399822363167,0.787468007667,0,0,0,0,0,0,0,0,0,0,0,0,0.79552100575,
Basin Pond,Pollen,44.47,-70.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318663933,0.337366249167,
Beaver Lake,Pollen,44.919595,-88.15694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204918033,0.882988847,0.801705381417,0.389114658375,0.3468514584,0.26642021775,
Beef Pasture,Pollen,37.416667,-108.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290697674,0,0,0,
Berry Pond,Pollen,42.5,-73.316667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3310484825,0.6174816505,2.0074917425,1.6792986674,1.02622877,0.9772486475,0,0,
Blue Mounds Creek,Pollen,43.083333,-89.866667,0,0,0,0,0,0,0,0,0,0,0,0,1.049868766,0,0.4259434245,0,0,0,0,0,0,0,
Boundary Pond,Pollen,45.566667,-70.675,0,0,0,0,0,0,0,0,0,0,0,0,0.189753321,0.193423598,0.1720949225,0,0,0.26820954,0.3855835985,0.320922838333,0.317992473,0.305716622,
Brandreth Bog,Pollen,43.916667,-74.683333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288536144,0,0,0,0,0,0,0,
Camp 11 Lake,Pollen,46.666667,-88.016667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112359551,0,0,0,0,0,0,
Campbell Lake,Pollen,44.70722,-93.497645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3662668782,
Carbuncle Pond,Pollen,41.7,-71.783333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439978720667,
Caribou Bog,Pollen,45.933333,-68.766667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25974026,0,0,0,0,0.198019802,0,0,
Carter Site,Pollen,40.216667,-84.680556,0,0,0,0,0,0,0.257731959,0.3368616855,0.30342257,0.205338809,0,0,0,0,0,0,0,0,0,0,0,0,
Cedar Bog,Pollen,45.411111,-93.197222,0,0,0,0,0,0,0,0,0,0,0,0.415034856333,0.494868313,0.44252007425,0.339753126,0.195694716,0,0,0,0,0,0,
Chippewa Bog,Pollen,43.123889,-83.241111,0,0,0,0,0,0,0,0,0,0,0,0,0.7020417075,0.4467033295,0,0,0.492610837,0,0.473933649,0.471698113,0.467657343,0,
Clear Lake,Pollen,41.638535,-86.544595,0,0,0,0,0,0,0,0,0,0,0,0.562169312,0.878899137167,0.432392676,0.556983107,1.3767639115,1.351351351,1.945131618,1.19231070183,1.956009251,2.06185567,2.2328890895,
Clear Pond,Pollen,33.798895,-78.95336,0,0,0,0.275482094,0,0,0,0,0.324024661833,0.257069409,0,0,0,0,0,0,0,0,0,0,0,0,
Cranberry Glades,Pollen,38.2,-80.283333,0,0,0,0,0,0,0,0,0,0.574014221,0,0.784976738,0,0,0,0,0,0.280037547,0,0,0,0,
Cub Lake,Pollen,44.125,-111.183333,0,0,0,0,0,0,0,0,0.321543408,0,0,0.245098039,0,0,0,0,0,0,0,0,0,0.322580645,
Hershop Bog,Pollen,29.583333,-97.608333,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,
Demont Lake,Pollen,43.48,-85,0,0,0,0,0,0,0,0,0,0,0.502512563,0.6801899722,0,0,0,0.478529009,0.3892668175,0.7104877155,1.351351351,0.619195046,1.12978524733,0.61526053975,
Denton Lake,Pollen,45.85,-89.316667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,
Dinkey Meadow,Pollen,37,-119.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340136054,0,0,
George Lake,Pollen,44.2329,-93.87066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6499609995,0.565934746818,
Gould's Bog,Pollen,42.533333,-72.183333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147058824,0,0,0,0,0,0,
Green Lake,Pollen,44.883333,-85.116667,0,0,0,0,0,0,0,0,0,0,0,0.396825397,0.377358491,0,0,0.253912754,0.190839695,0.400801603,0,0.3898872515,0,0,
Helmetta Bog,Pollen,40.383333,-74.433333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352112676,0,0,0,0,0,0,0,0,
Horseshoe Lake,Pollen,38.6867,-90.10375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214592275,
Howes Prairie Marsh,Pollen,41.65,-87.072222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98019802,0,0,0,
Jackson Pond,Pollen,37.43255,-85.72462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677966102,
Jacobson Lake,Pollen,46.416944,-92.716944,0,0,0,0,0,0,0,0,0,0,0,0,0.392111160333,0.288184438,0,0,0,0,0,0,0,0,
Spiritwood Lake,Pollen,47.074695,-98.5866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279005697,0,0,0.293828311,0,0,
Kellys Hollow,Pollen,45.3,-90.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323624595,0,0,0,0,0,0.316455696,0,0,
Kinsman Pond,Pollen,44.133333,-71.733333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294118,0.273224044,0,0.571428571,0.257069409,0.277777778,0,0.254624848,
Kirchner Marsh,Pollen,44.77085,-93.12255,0,0,0,0,0,0,0,0,0,0.283605031,0,0.612558864,0.909090909,0.555555556,0,0.353982301,0,0,0,0,0,0,
Lake Lacawac,Pollen,41.381944,-75.292778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339002752364,
Lake Sixteen,Pollen,45.6,-84.316667,0,0,0,0,0,0,0,0,0,0,0.2732417255,0.5756195925,0,0,0.181488203,0.2025394225,0,0.2030483945,0,0,0,0,
Lake 27,Pollen,45.066667,-84.783333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641025641,1.298701299,0.357823706667,
Lake Carlson,Pollen,44.79985,-93.15975,0,0,0,0,0,0,0,0,0,0,0.414937759,0.255711319,0,0,0,0.4784689,0,0,0,0.516795866,0.276243094,0.335133553,
Lewis Lake,Pollen,45.749444,-93.364167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8545544755,
Little Pine Lake,Pollen,45.283333,-91.483333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358172031182,
Lost Pond,Pollen,44.246944,-71.251389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193050193,0.241254524,0,0,0.264550265,
Mashapaug Pond,Pollen,41.783333,-71.433333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342465753,0.451640868,0,
Medicine Lake,Pollen,44.98419,-97.350125,0,0,0,0,0,0,0,0,0,0,0,0.554938189,0.833201431667,0,0,0,0,0,0,0,0,0,
Lake Mendota,Pollen,43.1,-89.416667,0,0,0,0,0,0,0,0,0.746268657,0.411522634,0.41322314,0.378787879,0,0,0,0.859598854,0.550702269333,0,0,0.582023443333,0,0.308073835667,
Lake Minnie,Pollen,47.244755,-95.007715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277376613,0,0,0,0,0,0,0,0,
Mud Creek Site 1,Pollen,25.219722,-80.604722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31152648,
Muscotah Marsh,Pollen,39.53,-95.513333,0.348432056,0,0,0,0,0,0,0,0,0,0,0.284900285,0.409397922,0.327380502,0,0,0,0,0,0,0,0.62555832,
Myrtle Lake,Pollen,47.982605,-93.3853,0,0,0,0,0,0,0,0,0,0,0,0,0.375289886,0.1789108715,0.135501355,0.174825175,0,0,0.105485232,0.113664325333,0.110375276,0,
Natural Lake,Pollen,34.663333,-95.386111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321543408,0,0.600132626,
Old Field,Pollen,37.116667,-89.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235846436,0.230842963,0.472813239,0.240384615,0,0,0,0,0,
Lake Ontario  Mississauga Basin,Pollen,43.556667,-78.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Patschke Bog,Pollen,30.366667,-97.116667,0,0,0,0,0.2699226925,0.220750552,0,0,0.952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pogonia Bog Pond,Pollen,45.03503,-93.6305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448430493,
Portage Lake,Pollen,47.081,-94.113,0,0,0,0,0,0,0,0,0,0,0,0.574712644,0.29154519,0,0.159235669,0,0.242130751,0.245098039,0,0,0,0,
Chesapeake Bay  Parker Creek,Pollen,38.547778,-76.478611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Quicksand Pond,Pollen,34.326389,-84.865278,0.334448161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Quillin Site,Pollen,41,-81.966667,0,0,0,0,0,0,0,0,0,0.263852243,0.235065027667,0.148367953,0.131822646,0.344982379,0.4020509645,0.759493671,0,0.666666667,0,0,0,0,
Chesapeake Bay  Rhode River,Pollen,38.886389,-76.394722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rogers Lake,Pollen,41.3525,-72.29915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294117647,
Rossburg Bog,Pollen,46.583333,-93.6,0,0,0,0,0,0,0,0,0,0,0,0.274725275,0.5901797765,0.583090379,0,0,0.592885375,0,0.6356415325,0,0,0,
