Site,Type,Latitude,Longitude,22000-21000,21000-20000,20000-19000,19000-18000,18000-17000,17000-16000,16000-15000,15000-14000,14000-13000,13000-12000,12000-11000,11000-10000,10000-9000,9000-8000,8000-7000,7000-6000,6000-5000,5000-4000,4000-3000,3000-2000,2000-1000,1000-present
Eaglenest Lake,Pollen,57.766667,-112.1,0,0,0,0,0,0,0,0,0,0,0,1.769911504,0,0,0,0,0,0,0,0,0,0,
Jack Lake,Pollen,47.316667,-81.766667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172413793,0,0,0,
Lake CH2,Pollen,49.683333,-74.583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27173913,0.181653043,0.316846559,0,0,0,0,0,0,
Little Lake (CA:New Brunswick),Pollen,45.144444,-66.716667,0,0,0,0,0,0,0,0,0,0,0,0,0.320512821,0,0,0,0.189753321,0,0,0.249901,0,0,
Nutt Lake,Pollen,45.216667,-79.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178571429,0,0,0,0,0,0,0,
Barrett Lake,Pollen,37.595833,-119.008333,0,0,0,0,0,0,0,0,0.325732899,0.214592275,0,0,0,0,0,0,0,0,0.187969925,0,0,0.175438596,
Cheyenne Bottoms,Pollen,38.466667,-98.666667,0,0,0,0,0,0,0,0,0,0,0,0.292397661,0.297938373,0.520833333,0.626258927,0,0,0,0,0,0,0,
Cub Creek Pond,Pollen,44.49,-110.283611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327868852,0,0,0,0,0,0,0,
Kaiyak Lake,Pollen,68.15,-161.416667,0.261780105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Stewart's Dark Lake,Pollen,45.3,-91.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174825175,0,0,0,0,0,
Muscotah Marsh,Pollen,39.53,-95.513333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195694716,
Nichols Brook Site,Pollen,42.544722,-78.478889,0,0,0,0,0,0,0,0,0,0.3369125425,0.285714286,0.24691358,0.268817204,0,0,0,0,0,0,0,0,0,
Pogonia Bog Pond,Pollen,45.03503,-93.6305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488291463,
Ross Pond,Pollen,43.921389,-69.410278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132450331,0,
Wood Lake,Pollen,45.333333,-90.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657894737,0,0,0,0,0,0,0,0,
West Olaf Lake,Pollen,46.5986,-96.18675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831024931,0,0,0,0,0,0,0,
Bear Lake,Pollen,41.98435,-111.33339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Appleman Lake,Pollen,41.623285,-85.212085,0,0,0,0,0,0,0,0,0,0,0,0.561009818,0,0.279329609,0,0,0,0,0,0,0,0,
Stewart Bog,Pollen,35.832,-105.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.328947368,0,0.330033003,0,0,0,0,
Grass Lake,Pollen,41.6496,-122.16715,0,0.170893131667,0.070721358,0.64,0,0.089445438,0.208659364,0,0,0.112676056,0,0,0,0,0,0,0,0,0,0,0,0,
Blair Lakes,Pollen,64.36008,-147.368165,0,0,0,0,0,0,0,0,0,0,0.259067358,0,0,0,0,0,0,0,0,0,0,0,
