Site,Type,Latitude,Longitude,22000-21000,21000-20000,20000-19000,19000-18000,18000-17000,17000-16000,16000-15000,15000-14000,14000-13000,13000-12000,12000-11000,11000-10000,10000-9000,9000-8000,8000-7000,7000-6000,6000-5000,5000-4000,4000-3000,3000-2000,2000-1000,1000-present
Lac Ã  l'Ange,Pollen,47.481667,-70.684722,0,0,1.17673826,0,0,0,0.540890269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Candelabra Lake,Pollen,61.683333,-130.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274725275,0,
Decoy Lake,Pollen,43.233333,-80.366667,0,0,0,0,0,0,0,0,0,0,2.962962963,0,0,0,0,0,0,0,0,0,0,0,
Fish Lake (CA:Nunavut),Pollen,73.034722,-85.216667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.351351351,0,0,0,0,
Honeymoon Pond,Pollen,64.633333,-138.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325732899,0,0,0,0,0,0,0,0,
M Lake,Pollen,68.266667,-133.466667,0,0,0,0,0,0,0,0,0,0,0,1.537855002,0.121212121,0,0,0,0.130378096,1.181102362,0,0,1.549053356,0,
Lac MÃ©lÃ¨ze,Pollen,65.216667,-126.116667,0,0,0,0,0,0,0,0,0,0,0,0.186915888,0,0,0,0,0.192678227,0,0,0,0.197238659,0,
Reindeer Lake,Pollen,69.116667,-132.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321027287,
Sweet Little Lake,Pollen,67.65,-132.016667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218818381,0,0,0,0.190114068,0.2,
Skinny Lake,Pollen,57.59498,-130.095975,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,
Buckbean Bog,Pollen,49.11905,-119.68305,0,0,0,0,0,0,0,0,0,0,0.255102041,0,0,0,0,0,0,0,0,0,0,0,
Porcupine Mountain,Pollen,52.50635,-101.62995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340136054,
Woods Lake,Pollen,51.004365,-127.269325,0,0,0,0,0,0,0,0,0,0,0,0,0.056561086,0,0,0,0,0,0,0,0,0,
Anderson Lake,Pollen,46.416667,-92.716667,0,0,0,0,0,0,0,0,0,0,0,0.775193798,0,0,0,0,0,0,0,0,0,0,
Battle Ground Lake,Pollen,45.8,-122.491667,0,0,0,0.301204819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brandreth Bog,Pollen,43.916667,-74.683333,0,0,0,0,0,0,0,0,0,0,0,0,0.595238095,0,0,0,0,0,0,0,0,0,
Minakokosa Lake,Pollen,66.916667,-155.033333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318471338,0.249376559,0,0.252351676,0.264550265,0,0.314465409,0,0,
Moon Lake,Pollen,46.85592,-98.15984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183318057,0,0.222211849,0,0,0.200601805,0,0,
Puyuk Lake,Pollen,63.5,-162.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334448161,0,0,
Tangle Lakes,Pollen,63.029444,-146.063333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303951368,0,0,0.31152648,0,
Fargher Pond,Pollen,45.886765,-122.51919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Stewart Bog,Pollen,35.832,-105.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330033003,0.495599512,0,0.334448161,0.332225914,0.4089189405,0.405844156,0.331125828,0,
Ridge and Slough (02-05-21-2),Pollen,25.8285,-80.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564971751,
Ridge and Slough (02-05-21-5),Pollen,25.829,-80.7675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458715596,
Nichols Meadow,Pollen,37.4235,-119.5785,0,0,0,0,0,0,0,0,0.540540541,0.785340314,0.273224044,0.281690141,0,0,0,0.318471338,0,0.3003003,0,0.299401198,0.574712644,0.295857988,
Divers Lake,Pollen,43.04099,-78.399245,0,0,0,0,0,0,0,1.724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Grass Lake,Pollen,41.6496,-122.16715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Windmill Lake,Pollen,63.6589,-148.80525,0,0,0,0,0,0,0,0,0,0.316455696,0,0,0,0,0,0,0,0,0,0,0,0,
Blair Lakes,Pollen,64.36008,-147.368165,0,0,0,0,0,0,0,0.655737705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Otto Lake,Pollen,63.84225,-149.035575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.030927835,0,0,0,0.321543408,0,0,
Wiener Lake,Pollen,61.81078,-148.16984,0,0,0,0,0,0,0,0,0,0,0,0,0.487804878,0,0,0.321543408,0,0,0,0.327868852,0,0.324675325,
Steel Lake,Pollen,46.973155,-94.68138,0,0,0,0,0,0,0,0,0,0.178890877,0,0,0,0,0,0,0,0,0,0,0,0,
Little Swift Lake,Pollen,60.216475,-159.76567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497512438,0,0,0,0,
